#,Business Name,Town,Category,Google Rating,Reviews,Website URL,Website Notes,Instagram Handle,Followers,Contact,Lead Score,Pitch Angle
11,Bulldog and Bear Barber Co,"Brixworth (NN6)",Barbershop,5.0,445,bulldogandbear.co.uk,"Plain template, no booking integration on landing",@bulldogandbear,1850,DMs active,MEDIUM,"5★ from 445 reviews and SEN-friendly USP — a site with brand storytelling justifies premium beard-grooming pricing."
12,The Neighbourhood Barbershop,"Northampton (NN1)",Barbershop,4.9,180,None,"No real website — only a Nearcut booking subdomain",@nbhd.nn,2281,DMs active,HIGH,"Won Best Barbershop 2024 but loses every Google search to chains — a real site with their interior would print money."
13,H. Cutting Company,"Northampton (NN1)",Barbershop,4.9,140,None,"No real website — Nearcut subdomain only",@hcuttingco,1450,DMs active,HIGH,"They've added a male-aesthetics room (Brotox, IVs) — a £100+ service that needs a real website to sell credibly."
14,Beckets Barbershop,"Northampton (NN1)",Barbershop,4.8,160,None,"No website at all — Facebook + Instagram only",@becketsnorthampton,1302,"DMs active · 01604 631081",HIGH,"Traditional Gentlemen's Hairdressing is a strong premium positioning — a heritage-styled website justifies Mayfair-level pricing."
15,The Barber Brothers,"Northampton (NN1)",Barbershop,5.0,180,thebarberbrothers.co.uk,"Nearcut wrapper — no brand identity whatsoever",@thebarberbrothers_uk,1208,"DMs active · 01604 345712",HIGH,"Two young brothers, perfect 5★, modern interior — they need a site that matches the shop's aesthetic to attract executive clientele."
16,Fong Retreat,"Little Houghton (NN7)",Spa & Wellness,4.4,139,fongretreat.co.uk,"Generic Squarespace — doesn't reflect converted-stables luxury",@fongretreat,850,DMs active · contact form,MEDIUM,"A luxury spa with a generic website loses every booking the moment a competitor's site looks more premium on Google."
17,York Cottage Spa,"Bozeat (NN29)",Spa & Wellness,4.9,209,yorkcottagespa.com,"Decent but templated — doesn't reflect £2k+ whole-house hire",@yorkcottagespa,10000,DMs very active · contact form,HIGH,"Whole-house private spa hire is a £2k+ booking — buyers judge the website in 8 seconds. A cinematic site justifies a 30% price uplift."
18,Kafe Bloc,"Kettering (NN16)",Cafe,4.6,380,kafebloc.com,"Old, slow, basic — doesn't match Cultural Quarter bistro feel",@kafe.bloc,2100,DMs active · email public,HIGH,"British-Mediterranean tapas in Kettering's Cultural Quarter — a stylish site converts evening bookings instead of just lunch walk-ins."
19,Pizzeria Venezia,"Rushden (NN10)",Restaurant,4.7,722,pizzeriavenezia.co.uk,"Pre-2015 design, no online booking, mobile barely usable",@pizzeriaveneziarushden,792,DMs active,HIGH,"Family-run since 1987, 96% recommendation — a heritage site with online ordering unlocks the takeaway market they're missing."
20,Crystal Tips Nail & Beauty,"Kettering (NN16)",Beauty Salon,4.8,108,None,"No real website — auto-generated directory pages only",@crystaltips_kettering,3033,"DMs very active · 07772 709519",HIGH,"3k engaged IG followers with no website — every booking goes through DMs, leaking 30% of demand. A real site captures it all."
21,Mexican Fire Garden,"Kettering (NN15)",Restaurant,4.7,903,mexicanfiregarden.com,"Basic template, weak food photography, no family story",@official_mexicanfiregarden,1900,DMs active · contact form,HIGH,"'Hidden gem' positioning is wasted without a website that screams discovery — a cinematic site turns the location into a destination story."
22,David Cosby Estate Agents,"Towcester (NN12)",Estate Agent,4.9,215,davidcosby.co.uk,"Functional but dated, weak property photography",@davidcosbyestateagents,680,Email public · DMs active,LOW,"Independent estate agents can't compete with Purplebricks on tech — a premium site is the only thing that justifies their fee to high-end vendors."
23,44 Derngate Dental,"Northampton (NN1)",Dental Clinic,4.8,175,44derngate.co.uk,"Aging site, weak treatment journey, no patient stories",@44derngate,1100,Email public · contact form,MEDIUM,"Private dental is now a luxury purchase — a modern site directly increases £3k+ Invisalign enquiries."
24,Saving Smiles Dental,"Weedon (NN7)",Dental Clinic,4.9,120,savingsmiles.dental,"Template-y, weak before/after gallery, no booking flow",@savingsmilesdental,560,Contact form · email public,MEDIUM,"Two-location private practice — a premium site lifts them from 'local NHS dentist' into proper cosmetic territory."
